ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
TKT-100000,High,Open,Access,Network outage,Issue reported: Network outage,2020-11-15,,Bob,2020-11-15 00:00:00
TKT-100001,High,Open,Network,Application crash,Issue reported: Application crash,2021-08-30,,Ivan,2021-08-30 00:00:00
TKT-100002,High,Resolved,Access,Password reset,Issue reported: Password reset,2021-03-12,2021-03-13,Diana,2021-03-12 00:00:00
TKT-100003,Medium,In Progress,Security,Network outage,Issue reported: Network outage,2024-11-10,,Ivan,2024-11-10 00:00:00
TKT-100004,Critical,Open,Access,Email malfunction,Issue reported: Email malfunction,2020-12-02,,Hannah,2020-12-02 00:00:00
TKT-100005,Low,Resolved,Access,Email malfunction,Issue reported: Email malfunction,2022-09-30,2022-10-12,Hannah,2022-09-30 00:00:00
TKT-100006,Critical,Open,Access,Access request,Issue reported: Access request,2021-07-23,,Julia,2021-07-23 00:00:00
TKT-100007,Low,Closed,Network,Application crash,Issue reported: Application crash,2024-04-09,2024-04-22,Alice,2024-04-09 00:00:00
TKT-100008,Medium,Open,Software,Security alert,Issue reported: Security alert,2021-12-09,,Diana,2021-12-09 00:00:00
TKT-100009,Medium,Open,Security,Login issue,Issue reported: Login issue,2020-04-02,,George,2020-04-02 00:00:00
TKT-100010,Critical,Closed,Network,Security alert,Issue reported: Security alert,2023-12-07,2023-12-17,Julia,2023-12-07 00:00:00
TKT-100011,High,Closed,Hardware,Application crash,Issue reported: Application crash,2020-11-20,2020-12-08,Fatima,2020-11-20 00:00:00
TKT-100012,High,In Progress,Hardware,Security alert,Issue reported: Security alert,2023-01-30,,Julia,2023-01-30 00:00:00
TKT-100013,High,In Progress,Network,Email malfunction,Issue reported: Email malfunction,2021-10-23,,Ethan,2021-10-23 00:00:00
TKT-100014,Medium,Closed,Access,Password reset,Issue reported: Password reset,2021-04-19,2021-04-25,Ivan,2021-04-19 00:00:00
TKT-100015,Medium,Open,Access,System failure,Issue reported: System failure,2024-02-26,,Julia,2024-02-26 00:00:00
TKT-100016,High,Open,Network,Device not responding,Issue reported: Device not responding,2020-05-04,,Hannah,2020-05-04 00:00:00
TKT-100017,Critical,Closed,Software,Application crash,Issue reported: Application crash,2022-11-21,2022-11-26,Fatima,2022-11-21 00:00:00
TKT-100018,Critical,Resolved,Security,Security alert,Issue reported: Security alert,2022-04-12,2022-05-02,Hannah,2022-04-12 00:00:00
TKT-100019,Critical,Open,Software,System failure,Issue reported: System failure,2022-11-01,,Hannah,2022-11-01 00:00:00
TKT-100020,Low,Closed,Access,Security alert,Issue reported: Security alert,2023-09-09,2023-09-15,Ethan,2023-09-09 00:00:00
TKT-100021,Low,In Progress,Network,Login issue,Issue reported: Login issue,2024-08-21,,Charlie,2024-08-21 00:00:00
TKT-100022,Low,In Progress,Software,Login issue,Issue reported: Login issue,2021-09-01,,Charlie,2021-09-01 00:00:00
TKT-100023,Low,Open,Access,Access request,Issue reported: Access request,2021-02-11,,Bob,2021-02-11 00:00:00
TKT-100024,Medium,Resolved,Access,Network outage,Issue reported: Network outage,2023-12-30,2024-01-07,Hannah,2023-12-30 00:00:00
TKT-100025,Critical,Open,Hardware,Email malfunction,Issue reported: Email malfunction,2022-09-26,,Bob,2022-09-26 00:00:00
TKT-100026,Medium,In Progress,Hardware,Login issue,Issue reported: Login issue,2023-04-23,,Hannah,2023-04-23 00:00:00
TKT-100027,Critical,In Progress,Access,Password reset,Issue reported: Password reset,2023-01-02,,Bob,2023-01-02 00:00:00
TKT-100028,High,Resolved,Security,Security alert,Issue reported: Security alert,2024-04-04,2024-04-06,Ivan,2024-04-04 00:00:00
TKT-100029,Low,Closed,Security,Login issue,Issue reported: Login issue,2024-09-11,2024-09-19,Diana,2024-09-11 00:00:00
TKT-100030,Low,In Progress,Security,Email malfunction,Issue reported: Email malfunction,2023-07-10,,Charlie,2023-07-10 00:00:00
TKT-100031,Critical,Resolved,Access,Security alert,Issue reported: Security alert,2022-03-21,2022-04-07,Charlie,2022-03-21 00:00:00
TKT-100032,Low,Closed,Software,Login issue,Issue reported: Login issue,2024-10-12,2024-10-27,Julia,2024-10-12 00:00:00
TKT-100033,Medium,In Progress,Hardware,Application crash,Issue reported: Application crash,2020-02-12,,Diana,2020-02-12 00:00:00
TKT-100034,Medium,Open,Network,Password reset,Issue reported: Password reset,2020-02-29,,Charlie,2020-02-29 00:00:00
TKT-100035,Low,Resolved,Network,Application crash,Issue reported: Application crash,2023-12-31,2024-01-06,Fatima,2023-12-31 00:00:00
TKT-100036,Medium,Open,Hardware,Password reset,Issue reported: Password reset,2024-09-12,,Julia,2024-09-12 00:00:00
TKT-100037,Low,In Progress,Security,System failure,Issue reported: System failure,2020-08-06,,Ivan,2020-08-06 00:00:00
TKT-100038,Low,In Progress,Access,Login issue,Issue reported: Login issue,2021-09-10,,Ivan,2021-09-10 00:00:00
TKT-100039,High,Closed,Software,Access request,Issue reported: Access request,2023-02-06,2023-02-16,Fatima,2023-02-06 00:00:00
TKT-100040,Critical,In Progress,Access,Security alert,Issue reported: Security alert,2023-09-25,,Hannah,2023-09-25 00:00:00
TKT-100041,Medium,Open,Hardware,System failure,Issue reported: System failure,2023-07-29,,Diana,2023-07-29 00:00:00
TKT-100042,Medium,Open,Hardware,Password reset,Issue reported: Password reset,2024-07-18,,Ivan,2024-07-18 00:00:00
TKT-100043,Medium,In Progress,Software,Security alert,Issue reported: Security alert,2022-08-26,,Diana,2022-08-26 00:00:00
TKT-100044,Low,Closed,Hardware,Access request,Issue reported: Access request,2022-06-22,2022-06-30,Charlie,2022-06-22 00:00:00
TKT-100045,Low,Open,Security,Password reset,Issue reported: Password reset,2022-06-22,,Fatima,2022-06-22 00:00:00
TKT-100046,Low,Closed,Software,Device not responding,Issue reported: Device not responding,2024-07-16,2024-07-20,Hannah,2024-07-16 00:00:00
TKT-100047,Medium,In Progress,Network,Device not responding,Issue reported: Device not responding,2021-01-30,,Fatima,2021-01-30 00:00:00
TKT-100048,Medium,Resolved,Security,Email malfunction,Issue reported: Email malfunction,2020-08-13,2020-08-18,Fatima,2020-08-13 00:00:00
TKT-100049,Low,Open,Network,Access request,Issue reported: Access request,2022-08-26,,Hannah,2022-08-26 00:00:00
TKT-100050,Medium,Resolved,Network,Login issue,Issue reported: Login issue,2020-03-07,2020-03-19,Alice,2020-03-07 00:00:00
TKT-100051,Medium,In Progress,Security,Email malfunction,Issue reported: Email malfunction,2021-05-29,,Diana,2021-05-29 00:00:00
TKT-100052,High,Resolved,Security,Device not responding,Issue reported: Device not responding,2024-11-24,2024-12-02,Bob,2024-11-24 00:00:00
TKT-100053,High,In Progress,Access,Network outage,Issue reported: Network outage,2022-01-15,,Charlie,2022-01-15 00:00:00
TKT-100054,Low,Resolved,Network,Network outage,Issue reported: Network outage,2020-08-02,2020-08-22,Hannah,2020-08-02 00:00:00
TKT-100055,Critical,Resolved,Hardware,Login issue,Issue reported: Login issue,2020-01-04,2020-01-19,Ethan,2020-01-04 00:00:00
TKT-100056,High,In Progress,Network,System failure,Issue reported: System failure,2024-03-28,,Hannah,2024-03-28 00:00:00
TKT-100057,Low,Resolved,Software,Password reset,Issue reported: Password reset,2024-01-23,2024-02-01,Charlie,2024-01-23 00:00:00
TKT-100058,Low,In Progress,Network,Network outage,Issue reported: Network outage,2021-12-09,,Julia,2021-12-09 00:00:00
TKT-100059,Critical,Closed,Network,Login issue,Issue reported: Login issue,2023-07-19,2023-07-24,Diana,2023-07-19 00:00:00
TKT-100060,Low,Closed,Security,Network outage,Issue reported: Network outage,2021-07-21,2021-08-07,Ivan,2021-07-21 00:00:00
TKT-100061,Low,Open,Network,Device not responding,Issue reported: Device not responding,2023-03-08,,Bob,2023-03-08 00:00:00
TKT-100062,Low,Resolved,Hardware,Performance issue,Issue reported: Performance issue,2021-02-07,2021-02-08,Bob,2021-02-07 00:00:00
TKT-100063,Medium,Closed,Software,Email malfunction,Issue reported: Email malfunction,2021-07-27,2021-08-05,Fatima,2021-07-27 00:00:00
TKT-100064,Low,Closed,Network,Access request,Issue reported: Access request,2021-12-01,2021-12-18,Julia,2021-12-01 00:00:00
TKT-100065,High,Closed,Security,Performance issue,Issue reported: Performance issue,2022-12-31,2023-01-10,George,2022-12-31 00:00:00
TKT-100066,Low,Resolved,Hardware,Network outage,Issue reported: Network outage,2024-04-24,2024-04-27,Charlie,2024-04-24 00:00:00
TKT-100067,Critical,Resolved,Network,Login issue,Issue reported: Login issue,2021-07-07,2021-07-11,Ivan,2021-07-07 00:00:00
TKT-100068,Critical,Open,Hardware,Login issue,Issue reported: Login issue,2023-07-26,,Diana,2023-07-26 00:00:00
TKT-100069,Critical,Resolved,Network,Password reset,Issue reported: Password reset,2020-09-15,2020-09-28,Julia,2020-09-15 00:00:00
