date,incident_type,severity,status,description,reported_by,created_at
2024-10-30,Data Breach,Medium,Investigating,Unauthorized access attempt,alice,2024-06-03 11:54:44
2025-05-15,DDoS,Medium,Closed,Phishing email reported,bob,2024-09-30 04:37:06
2024-09-08,Insider Threat,Critical,Resolved,Malware execution blocked,alice,2024-09-14 03:43:17
2025-09-17,Phishing,Medium,Resolved,Suspicious activity detected,bob,2025-01-28 01:46:12
2024-12-14,DDoS,Critical,Open,Malware execution blocked,bob,2025-03-27 16:39:10
2024-05-31,DDoS,Low,Closed,System compromise detected,charlie,2024-10-14 22:41:13
2025-08-15,Malware,Critical,Resolved,Suspicious activity detected,frank,2023-12-17 17:18:34
2025-01-15,Data Breach,Medium,Resolved,System compromise detected,david,2025-10-25 01:32:04
2025-02-05,DDoS,High,Open,System compromise detected,eve,2024-03-26 04:54:00
2024-05-06,Phishing,Medium,Investigating,Unauthorized access attempt,heidi,2023-12-24 22:08:29
2024-08-16,DDoS,Medium,Closed,Suspicious activity detected,charlie,2024-02-23 11:04:01
2025-10-22,DDoS,Medium,Closed,Suspicious activity detected,david,2024-04-08 13:06:38
2024-09-22,Malware,Low,Resolved,System compromise detected,david,2023-12-29 00:23:27
2024-11-28,Malware,Low,Closed,Suspicious activity detected,charlie,2024-11-25 17:55:43
2025-09-10,Phishing,Low,Resolved,Phishing email reported,eve,2024-07-12 01:02:11
2024-02-24,Data Breach,Low,Open,System compromise detected,eve,2024-03-31 20:43:05
2025-06-03,Data Breach,Medium,Closed,System compromise detected,grace,2024-04-28 09:34:43
2024-05-03,Ransomware,High,Open,Phishing email reported,frank,2024-02-03 09:00:41
2025-09-11,Ransomware,Low,Open,Unauthorized access attempt,charlie,2025-04-09 20:06:07
2024-08-12,Malware,High,Investigating,Phishing email reported,david,2025-07-07 22:16:36
2024-06-08,Data Breach,Critical,Open,Unauthorized access attempt,david,2025-03-10 19:34:35
2025-04-29,DDoS,Medium,Resolved,Unauthorized access attempt,bob,2024-02-09 00:40:09
2024-07-03,Insider Threat,Low,Resolved,System compromise detected,david,2024-01-21 23:44:26
2024-10-30,Ransomware,Medium,Resolved,Malware execution blocked,heidi,2024-05-25 10:40:45
2025-07-07,DDoS,Critical,Closed,Suspicious activity detected,grace,2023-11-27 06:51:56
2024-07-24,Insider Threat,High,Resolved,Suspicious activity detected,eve,2024-08-15 05:52:31
2024-10-03,Data Breach,Critical,Investigating,Unauthorized access attempt,bob,2024-05-25 19:56:49
2025-09-13,Phishing,Low,Resolved,Suspicious activity detected,eve,2024-04-19 17:41:21
2025-07-30,Insider Threat,Medium,Open,System compromise detected,bob,2024-01-09 19:08:19
2024-08-19,Data Breach,Critical,Investigating,Unauthorized access attempt,heidi,2025-01-21 12:39:35
2024-11-03,Insider Threat,Critical,Open,Malware execution blocked,eve,2024-12-13 13:41:37
2025-08-26,Malware,Critical,Closed,Suspicious activity detected,charlie,2025-07-27 18:36:00
2024-06-08,Malware,High,Open,Malware execution blocked,bob,2024-10-16 10:29:49
2024-08-22,DDoS,Critical,Resolved,Unauthorized access attempt,frank,2025-06-13 21:00:30
2025-10-01,DDoS,High,Open,Suspicious activity detected,alice,2025-04-07 11:16:30
